, You
collectively, Life
colonial, fleet
column, on
combined, as
combustion, u
come, with
comes, back
comfortable, about
coming, out
commercial, geo
communicate, at
communication, with
companiesBecause, its
company, the
companyI, wasnt
compared, to
compares, to
comparison, This
compartment, or
complete, the
completely, get
complexity, Its
complicated, liquid
composition, of
compressing, the
compute, power
computer, can
conceivably, go
concentration, of
conclusion, that
conditions, and
cone, on
conference, I
confident, that
confined, to
confusing, or
congestion, situation
conglomeration, of
congratulations, to
connection, between
consciousness, the
consider, two
considered, magic
considering, the
consisted, of
constrained, budget
consumption, and
contact, with
context, the
continue, the
contract, which
contribution, I
control, problem
controlled, power
convenience, to
convincing, people
cool, I
correct, and
corrective, feedback
cortex, kind
cost, of
costperticket, of
costperunit, mass
costs, 
could, be
count, How
counterintuitive, And
counting, on
countries, around
couple, years
course, u
cracking, and
crafts, You
cramped, or
crashed, It
crazy, But
crazyBeing, able
crazyBut, then
create, a
created, the
creates, a
creating, the
creation, of
crew, compartment
crisis, because
critical, feedback
crosssection, of
cryogenic, propellant
cryogens, and
cure, that
current, and
currently, in
currentyear, dollars
cyborg, You
dancing, machine
danger, to
dangerous, I
dates, you
day, is
days, a
deal, with
dealAnd, I
dealing, with
death, wish
debut, in
decent, net
decided, that
decisions, that
deep, Earth
deepcryo, methalox
deeper, than
deepest, mines
deeply, cryogenic
definitely, get
degree, wrong
dehydrated, nutrient
deliver, a
delivered, and
demand, for
demonstrated, landing
demonstration, article
dense, atmosphere
densify, it
density, improvement
depart, en
department, is
departure, velocity
depending, upon
depot, lets
derive, their
design, techniques
designed, Dragon
despite, the
detail, here
detailed, technical
details, And
developed, that
developing, the
development, of
device, you
diagram, of
diamonds, forming
did, it
didnt, happen
die, on
dieI, think
died, So
dies, their
difference, between
different, people
differential, thrust
difficult, trap
difficulty, of
digital, extension
direct, sort
direction, as
directionally, I
directions, One
directly, to
disrupt, employment
disruption, Im
disruptive, and
distances, being
distant, future
distillation, of
disturb, the
disturbing, thing
do, really
doBecause, people
dock, with
docked, to
does, not
doesnt, break
dog, u
doing, a
dollars, per
done, in
dont, want
doomsday, event
door, sedanBecause
dot, And
down, But
dramatically, So
drawn, there
dream, Is
drive, So
driving, in
drop, below
dropped, the
dry, have
due, to
dying, on
dynamics, really
each, other
earlier, you
early, next
earth, gravity
earthAnd, Im
earthNot, for
earthSo, I
earthThis, stuff
ease, because
easier, to
easily, upgrade
easy, job
economy, worksAnd
education, our
effect, is
effective, in
effectively, with
efficiency, of
effort, to
